,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
71,3879228659,Вечерний Ярославль,2020-08-07T19:05:57Z,Ride,10162.0,2981,9003,33.6,"[57.613798, 39.889425]",970EB3F9-DB12-4AEC-A62C-C8724C10AB7B-activity.fit
72,3877830947,Кострома,2020-08-07T11:04:10Z,Ride,39572.5,9178,17171,253.3,"[57.758951, 40.979947]",D09C53EE-BF29-4A70-9F72-CA3CE5D13FCD-activity.fit
73,3876810918,На лодке на Волге в пансионате,2020-08-07T10:27:18Z,Kayaking,1172.0,1099,1304,3.3,"[57.631971, 41.117978]",6AEDADFD-AADD-48ED-8B3F-001644BF2540-activity.fit
74,3874997435,Красное на Волге,2020-08-06T15:25:21Z,Ride,39527.6,7101,27266,169.5,"[57.628884, 41.119342]",EF631262-00F8-40CC-84FA-CA538F5C4753-activity.fit
75,3869792188,Юрьевиц - Кинешма - Плес,2020-08-05T08:21:58Z,Ride,144182.0,27857,50174,734.3,"[57.460229, 41.519247]",14FA511D-ECDC-4522-9224-01505AA8097F-activity.fit
76,3864005088,Заволжье - Юрьевец,2020-08-04T08:25:49Z,Ride,167189.0,30623,42797,989.2,"[57.283201, 43.108141]",1FED63F8-7D9F-4FD3-8FC5-562E2B85B3E2-activity.fit
77,3859599103,Нижний Новгород - Заволжск,2020-08-03T10:20:35Z,Ride,111582.0,26256,41827,672.8,"[56.672694, 43.466839]",1D17F9C5-7EF6-49F8-89F5-1FB3EB5A28B1-activity.fit
78,3835284455,Мск,2020-07-29T15:18:32Z,Ride,77906.3,15458,31971,220.0,"[55.63663, 37.698121]",2C527C16-A870-4A11-AA30-16F57461C587-activity.fit
79,3829743322,Мск,2020-07-28T16:08:52Z,Ride,47387.7,10407,29322,284.2,"[55.637886, 37.700893]",F84DD190-BE84-463F-8902-E5820ABD51DB-activity.fit
80,3820183237,Рыбное - Константиново - Фруктовая,2020-07-27T09:55:38Z,Ride,73730.7,14381,19613,401.8,"[54.91572, 39.258311]",8B92933D-44DD-4D81-9934-5ADB83A2FE49-activity.fit
81,3816182367,Дневной велозаезд до Коломенской и до мкада ,2020-07-26T16:15:31Z,Ride,39035.3,8835,19900,289.2,"[55.637255, 37.699384]",CFECC5D7-0159-45CD-925C-992B0442453C-activity.fit
